==========================Plot 1==================== 
list-none-m,1,1000,1,3000,3811410,1270,27
list-none-s,1,1000,1,3000,3671220,1223,25
list-none-m,2,1000,1,6000,25673014,4278,4242
list-none-s,2,1000,1,6000,24372615,4062,4078
list-none-m,4,1000,1,12000,95297146,7941,23560
list-none-s,4,1000,1,12000,120356452,10029,30067
list-none-m,8,1000,1,24000,413194504,17216,115063
list-none-s,8,1000,1,24000,455983659,18999,132363
list-none-m,12,1000,1,36000,945348212,26259,262638
list-none-s,12,1000,1,36000,1158776488,32188,352135
list-none-m,16,1000,1,48000,1975714318,41160,557533
list-none-s,16,1000,1,48000,1897132356,39523,522158
list-none-m,24,1000,1,72000,4352534460,60451,1219497
list-none-s,24,1000,1,72000,4328158649,60113,1144113
