======================Plot 1====================
list-none-none,1,10,1,30,161790,5393
list-none-none,1,100,1,300,124515,415
list-none-none,1,1000,1,3000,3658400,1219
list-none-none,1,10000,1,30000,634441442,21148
list-none-none,1,20000,1,60000,3397330318,56622
==================Plot 2=======================
list-none-none,2,1,1,6,79532,13255
list-none-none,8,1,1,24,232524,9688
list-none-none,12,1,1,36,361991,10055
list-none-none,2,10,1,60,112240,1870
list-none-none,8,10,1,240,288326,1201
list-none-none,12,10,1,360,375978,1044
list-none-none,2,1000,1,6000,36493604,6082
list-d-none,2,1,1,6,153241,25540
list-il-none,2,1,1,6,142633,23772
list-dl-none,2,1,1,6,145352,24225
list-d-none,4,1,1,12,171128,14260
list-dl-none,4,1,1,12,174317,14526
list-d-none,8,1,1,24,331014,13792
list-il-none,8,1,1,24,289750,12072
list-d-none,12,1,1,36,1609763,44715
list-il-none,12,1,1,36,384687,10685
list-dl-none,12,1,1,36,399296,11091
list-i-none,2,2,1,12,137239,11436
list-d-none,2,2,1,12,137131,11427
list-il-none,2,2,1,12,143709,11975
list-dl-none,2,2,1,12,175399,14616
list-d-none,4,2,1,24,241687,10070
list-dl-none,4,2,1,24,182906,7621
list-i-none,8,2,1,48,248524,5177
list-d-none,8,2,1,48,235882,4914
list-dl-none,8,2,1,48,275821,5746
list-d-none,12,2,1,72,407896,5665
list-il-none,12,2,1,72,338055,4695
list-dl-none,12,2,1,72,404526,5618
list-i-none,2,4,1,24,124939,5205
list-d-none,2,4,1,24,128598,5358
list-il-none,2,4,1,24,162605,6775
list-dl-none,2,4,1,24,135336,5639
list-i-none,4,4,1,48,181475,3780
list-d-none,4,4,1,48,174858,3642
list-il-none,4,4,1,48,170731,3556
list-i-none,8,4,1,96,249967,2603
list-d-none,8,4,1,96,276808,2883
list-dl-none,8,4,1,96,284251,2960
list-dl-none,12,4,1,144,416638,2893
list-i-none,2,8,1,48,124328,2590
list-d-none,2,8,1,48,96592,2012
list-dl-none,4,8,1,96,221693,2309
list-d-none,8,8,1,192,266951,1390
list-i-none,2,16,1,96,189447,1973
list-d-none,2,16,1,96,174629,1819
list-il-none,2,16,1,96,257012,2677
list-dl-none,2,16,1,96,272857,2842
list-il-none,4,16,1,192,421339,2194
list-dl-none,4,16,1,192,351119,1828
list-il-none,8,16,1,384,665940,1734
list-dl-none,12,16,1,576,913929,1586
list-il-none,2,32,1,192,525412,2736
list-dl-none,2,32,1,192,485812,2530
list-d-none,4,32,1,384,271863,707
list-dl-none,4,32,1,384,1030744,2684
list-dl-none,12,32,1,1152,2906051,2522
=========================Plot 3=====================
list-i-m,12,32,1,1152,2310130,2005
list-i-s,12,32,1,1152,4064199,3527
list-d-m,12,32,1,1152,2200264,1909
list-d-s,12,32,1,1152,3108018,2697
list-il-m,12,32,1,1152,18639727,16180
list-il-s,12,32,1,1152,27087833,23513
list-dl-m,12,32,1,1152,17590577,15269
list-dl-s,12,32,1,1152,35621530,30921
==========================Plot 4=========================
list-none-m,1,1000,1,3000,3839755,1279
list-none-s,1,1000,1,3000,3790524,1263
list-none-m,2,1000,1,6000,23759851,3959
list-none-s,2,1000,1,6000,40584664,6764
list-none-m,4,1000,1,12000,87283432,7273
list-none-s,4,1000,1,12000,294120532,24510
list-none-m,8,1000,1,24000,389555328,16231
list-none-s,8,1000,1,24000,1946676356,81111
list-none-m,12,1000,1,36000,1075616942,29878
list-none-s,12,1000,1,36000,4124599815,114572
list-none-m,16,1000,1,48000,1947669944,40576
list-none-s,16,1000,1,48000,8171665829,170243
list-none-m,24,1000,1,72000,4490038320,62361
list-none-s,24,1000,1,72000,50477955083,701082
