================Plot 1==================
add-none,1,10,20,884057,44202,0
add-yield-none,1,10,20,184851,9242,0
add-none,1,20,40,136621,3415,0
add-yield-none,1,20,40,159260,3981,0
add-none,1,40,80,132022,1650,0
add-yield-none,1,40,80,186989,2337,0
add-none,1,100,200,130980,654,0
add-yield-none,1,100,200,261834,1309,0
add-none,1,1000,2000,146232,73,0
add-yield-none,1,1000,2000,1401996,700,0
add-none,1,10000,20000,250720,12,0
add-yield-none,1,10000,20000,12415106,620,0
add-none,1,100000,200000,1421837,7,0
add-yield-none,1,100000,200000,120080580,600,0
add-none,2,10,40,178783,4469,0
add-yield-none,2,10,40,141312,3532,0
add-none,2,20,80,141384,1767,0
add-yield-none,2,20,80,212802,2660,17
add-none,2,40,160,163016,1018,0
add-yield-none,2,40,160,226855,1417,39
add-none,2,100,400,187944,469,0
add-yield-none,2,100,400,329074,822,30
add-none,2,1000,4000,228339,57,-388
add-yield-none,2,1000,4000,1724795,431,-25
add-none,2,10000,40000,744344,18,-2753
add-yield-none,2,10000,40000,15473605,386,39
add-none,2,100000,400000,7452655,18,-15886
add-yield-none,2,100000,400000,153320287,383,669
add-none,4,10,80,194279,2428,0
add-yield-none,4,10,80,217443,2718,-9
add-none,4,20,160,181354,1133,0
add-yield-none,4,20,160,186425,1165,22
add-none,4,40,320,220450,688,0
add-yield-none,4,40,320,257886,805,48
add-none,4,100,800,219593,274,0
add-yield-none,4,100,800,359608,449,51
add-none,4,1000,8000,164937,20,44
add-yield-none,4,1000,8000,1684881,210,91
add-none,4,10000,80000,2242302,28,-1219
add-yield-none,4,10000,80000,15490481,193,-113
add-none,4,100000,800000,21110568,26,-26233
add-yield-none,4,100000,800000,156063006,195,-6933
add-none,8,10,160,283945,1774,0
add-yield-none,8,10,160,289917,1811,0
add-none,8,20,320,272608,851,18
add-yield-none,8,20,320,332616,1039,74
add-none,8,40,640,279844,437,0
add-yield-none,8,40,640,317350,495,-2
add-none,8,100,1600,281467,175,-11
add-yield-none,8,100,1600,436096,272,-35
add-none,8,1000,16000,532892,33,561
add-yield-none,8,1000,16000,2039204,127,111
add-none,8,10000,160000,6243356,39,1507
add-yield-none,8,10000,160000,19036171,118,-732
add-none,8,100000,1600000,62565378,39,-14216
add-yield-none,8,100000,1600000,186760339,116,-5510
add-none,12,10,240,365764,1524,0
add-yield-none,12,10,240,389501,1622,14
add-none,12,20,480,360516,751,0
add-yield-none,12,20,480,430371,896,95
add-none,12,40,960,331578,345,0
add-yield-none,12,40,960,407817,424,129
add-none,12,100,2400,367318,153,0
add-yield-none,12,100,2400,534557,222,74
add-none,12,1000,24000,862560,35,477
add-yield-none,12,1000,24000,2804829,116,83
add-none,12,10000,240000,10648441,44,3289
add-yield-none,12,10000,240000,24519065,102,-1550
add-none,12,100000,2400000,101809183,42,-14275
add-yield-none,12,100000,2400000,250738305,104,-3425
=====================Plot 2==================
add-yield-none,2,100,400,298869,747,14
add-none,2,100,400,161334,403,0
add-yield-none,2,1000,4000,1687123,421,36
add-none,2,1000,4000,174847,43,0
add-yield-none,2,10000,40000,14696746,367,18
add-none,2,10000,40000,802049,20,-2676
add-yield-none,2,100000,400000,150616353,376,-908
add-none,2,100000,400000,8106676,20,-13159
add-yield-none,8,100,1600,443301,277,-54
add-none,8,100,1600,353432,220,-63
add-yield-none,8,1000,16000,2147913,134,-95
add-none,8,1000,16000,721883,45,721
add-yield-none,8,10000,160000,18890544,118,-1033
add-none,8,10000,160000,5579574,34,1536
add-yield-none,8,100000,1600000,192671975,120,-14113
add-none,8,100000,1600000,60423097,37,-10195
=======================Plot3=====================
add-none,1,1,2,138844,69422,0
add-none,1,10,20,197744,9887,0
add-none,1,100,200,173571,867,0
add-none,1,1000,2000,200713,100,0
add-none,1,10000,20000,307872,15,0
add-none,1,100000,200000,1569420,7,0
add-none,1,1000000,2000000,12665179,6,0
====================Plot 4========================
add-yield-m,2,10000,40000,40852041,1021,0
add-yield-c,2,10000,40000,2759190,68,0
add-yield-s,2,1000,4000,3046721,761,0
add-yield-m,4,10000,80000,112006021,1400,0
add-yield-c,4,10000,80000,9334984,116,0
add-yield-s,4,1000,8000,10805214,1350,0
add-yield-m,8,10000,160000,246097902,1538,0
add-yield-c,8,10000,160000,21372591,133,0
add-yield-s,8,1000,16000,28033353,1752,0
add-yield-m,10,10000,200000,305419995,1527,0
add-yield-c,10,10000,200000,27021608,135,0
add-yield-s,10,1000,20000,35774888,1788,0
add-yield-m,12,10000,240000,369623678,1540,0
add-yield-c,12,10000,240000,33803744,140,0
add-yield-s,12,1000,24000,47680238,1986,0
=====================Plot 5======================
add-none,1,10000,20000,287922,14,0
add-m,1,10000,20000,802615,40,0
add-c,1,10000,20000,540791,27,0
add-s,1,10000,20000,376596,18,0
add-none,2,10000,40000,829210,20,-114
add-m,2,10000,40000,4287165,107,0
add-c,2,10000,40000,2547353,63,0
add-s,2,10000,40000,4034148,100,0
add-none,4,10000,80000,2095887,26,-1118
add-m,4,10000,80000,15996367,199,0
add-c,4,10000,80000,7770808,97,0
add-s,4,10000,80000,27001191,337,0
add-none,8,10000,160000,5362956,33,-829
add-m,8,10000,160000,35479685,221,0
add-c,8,10000,160000,21611444,135,0
add-s,8,10000,160000,87996378,549,0
add-none,12,10000,240000,10310669,42,-748
add-m,12,10000,240000,49912199,207,0
add-c,12,10000,240000,36436549,151,0
add-s,12,10000,240000,198909293,828,0
